Style,Price,Rating,Size,Season,NeckLine,SleeveLength,Waistline,Material,Pattern Type,Recommendation
Brief,Average,4.6,L,Spring,O-neck,Full,Natural,Silk,Print,Yes
Cute,Low,4.5,M,Summer,O-neck,Butterfly,Natural,Chiffon,Dot,No
Party,Average,5,Free,Summer,O-neck,Full,Natural,Polyster,Solid,No
Vintage,Average,4.8,M,Summer,O-neck,Short,Empire,Cotton,Animal,Yes
Brief,Low,4,XL,Summer,V-neck,Short,Natural,Cotton,Solid,No
Sexy,Average,4.7,S,Summer,V-neck,Sleeveless,Empire,Cotton,Solid,Yes
Cute,Low,4.3,Free,Autumn,O-neck,Sleeveless,Natural,Polyster,Striped,No
Cute,Low,4.7,M,Spring,Ruffled,Short,Empire,Chiffon,Dot,Yes
Casual,Average,4.6,L,Autumn,O-neck,Sleeveless,Empire,Polyster,Solid,No
Casual,Average,4.4,L,Autumn,O-neck,Sleeveless,Natural,Linen,Animal,No
Casual,Low,4.6,Free,Winter,Boat-neck,Full,Natural,Cotton,Patchwork,Yes
Party,Average,4.6,M,Winter,O-neck,Sleeveless,Natural,Cotton,Solid,Yes
Casual,Average,4.5,M,Spring,V-neck,Short,Empire,Cotton,Solid,Yes
Brief,Average,5,Free,Spring,V-neck,Sleeveless,Natural,Cotton,Solid,Yes
Brief,Low,4.4,L,Autumn,O-neck,Half-sleeve,Natural,Rayon,Solid,No
Casual,Average,4.8,M,Winter,O-neck,Short,Natural,Lycra,Patchwork,No
Casual,Low,4.8,Free,Spring,O-neck,Sleeveless,Natural,Cotton,Print,No
Vintage,Average,4.8,M,Winter,O-neck,Sleeveless,Natural,Cotton,Patchwork,Yes
Sexy,Average,4.8,L,Spring,V-neck,Threequarter,Empire,Polyster,Geometric,No
Casual,Low,4.7,M,Summer,O-neck,Sleeveless,Empire,Milksilk,Solid,No
Casual,Average,4.6,Free,Autumn,O-neck,Sleeveless,Natural,Polyster,Solid,Yes
Sexy,Average,4.5,M,Spring,O-neck,Threequarter,Natural,Polyster,Geometric,No
Casual,Average,4.9,S,Winter,Turndowncollar,Full,Natural,Cotton,Solid,Yes
Bohemian,Low,4.5,M,Summer,V-neck,Sleeveless,Natural,Polyster,Print,Yes
Casual,Average,5,M,Summer,O-neck,Short,Empire,Polyster,Animal,No
Sexy,Low,4,S,Autumn,O-neck,Sleeveless,Empire,Cotton,Solid,Yes
Casual,Average,5,M,Autumn,V-neck,Short,Natural,Cotton,Solid,No
Casual,Medium,4.5,S,Winter,O-neck,Full,Natural,Polyster,Patchwork,Yes
Work,Average,4.8,L,Summer,V-neck,Short,Natural,Polyster,Solid,No
Bohemian,Average,5,Free,Summer,V-neck,Sleeveless,Natural,Cotton,Print,Yes
Sexy,Average,4.2,M,Winter,V-neck,Sleeveless,Natural,Cotton,Solid,No
Casual,Low,4.8,Free,Spring,O-neck,Full,Natural,Cotton,Solid,No
Casual,Low,4.4,S,Autumn,O-neck,Sleeveless,Natural,Polyster,Solid,No
Casual,Low,5,M,Summer,V-neck,Sleeveless,Empire,Polyster,Animal,No
Party,Average,4.7,M,Spring,V-neck,Sleeveless,Natural,Polyster,Solid,No
Sexy,Low,5,Free,Spring,O-neck,Full,Natural,Cotton,Striped,No
Casual,Average,4.8,L,Winter,O-neck,Short,Natural,Cotton,Solid,Yes
Sexy,Low,4.8,M,Spring,O-neck,Half-sleeve,Natural,Silk,Solid,No
Sexy,Low,4.8,L,Summer,V-neck,Full,Natural,Cotton,Print,Yes
Work,Medium,4.6,L,Winter,Square-collar,Short,Empire,Cotton,Solid,No
Vintage,Average,4.7,L,Summer,O-neck,Short,Natural,Cotton,Solid,No
Cute,Low,4.7,M,Spring,O-neck,Short,Empire,Polyster,Dot,Yes
Casual,Low,4.6,Free,Autumn,O-neck,Full,Natural,Cotton,Solid,Yes
Casual,Low,4.7,Free,Winter,O-neck,Sleeveless,Natural,Cotton,Solid,Yes
Casual,Average,4.5,L,Spring,O-neck,Short,Natural,Cotton,Patchwork,No
Casual,Low,4.5,Free,Autumn,V-neck,Short,Natural,Silk,Solid,No
Sexy,Average,3.6,L,Winter,V-neck,Full,Natural,Polyster,Solid,Yes
Work,Average,4.8,L,Winter,V-neck,Short,Natural,Mix,Solid,No
Work,Average,4.6,L,Spring,O-neck,Short,Empire,Cotton,Patchwork,No
Cute,Low,4.9,M,Autumn,O-neck,Short,Natural,Chiffon,Dot,No
Sexy,Low,4.6,Free,Summer,V-neck,Sleeveless,Natural,Cotton,Solid,No
Sexy,Average,4.6,M,Winter,O-neck,Full,Natural,Polyster,Patchwork,Yes
Cute,Average,4.7,L,Winter,O-neck,Sleeveless,Natural,Chiffon,Solid,No
Novelty,Average,4.9,L,Autumn,O-neck,Short,Natural,Polyster,Print,Yes
Cute,Low,4.7,XL,Summer,O-neck,Short,Empire,Chiffon,Print,No
Casual,Low,4.4,Free,Summer,Turndowncollar,Sleeveless,Natural,Cotton,Solid,No
Casual,Average,4.8,L,Winter,V-neck,Short,Empire,Polyster,Solid,No
Cute,Low,4.5,L,Summer,O-neck,Sleeveless,Natural,Cotton,Solid,Yes
Casual,Average,4.4,M,Summer,Turndowncollar,Sleeveless,Natural,Chiffon,Solid,No
Sexy,Low,4.7,Free,Summer,Turndowncollar,Sleeveless,Natural,Cotton,Solid,Yes
Cute,Medium,5,Free,Winter,O-neck,Sleeveless,Natural,Silk,Solid,Yes
Casual,Average,4.5,L,Winter,O-neck,Short,Natural,Cotton,Patchwork,No
Vintage,Average,4.8,L,Winter,O-neck,Sleeveless,Natural,Cotton,Patchwork,No
Sexy,Medium,5,M,Winter,O-neck,Sleeveless,Empire,Polyster,Solid,No
Brief,Average,4.6,Free,Winter,O-neck,Full,Natural,Mix,Solid,No
Casual,Low,4.5,Free,Winter,O-neck,Full,Natural,Mix,Solid,No
Casual,Low,4.8,XL,Summer,O-neck,Short,Empire,Mix,Geometric,No
Sexy,Medium,4.6,L,Summer,O-neck,Short,Natural,Spandex,Solid,No
Cute,Low,5,L,Winter,O-neck,Threequarter,Natural,Silk,Print,No
Brief,Average,4.3,M,Spring,O-neck,Full,Natural,Mix,Patchwork,Yes
Sexy,Low,4.4,Free,Autumn,O-neck,Full,Empire,Cotton,Leopard,No
Casual,Average,4.5,Free,Summer,O-neck,Short,Natural,Cotton,Solid,Yes
Casual,Low,4.7,Free,Spring,O-neck,Sleeveless,Empire,Cotton,Floral,No
Casual,Medium,4.8,M,Winter,Peterpan-collar,Short,Natural,Polyster,Patchwork,No
Sexy,Low,4.3,Free,Winter,V-neck,Sleeveless,Natural,Silk,Solid,Yes
Cute,Medium,4.8,Free,Spring,Slash-neck,Sleeveless,Natural,Polyster,Solid,Yes
Casual,Low,4.6,S,Spring,O-neck,Full,Natural,Cotton,Solid,Yes
Vintage,Medium,4.7,Free,Spring,Turndowncollar,Sleeveless,Natural,Mix,Solid,Yes
Work,Low,4.7,Free,Summer,O-neck,Full,Empire,Cotton,Solid,No
Cute,Average,4.8,M,Summer,O-neck,Short,Natural,Cotton,Solid,No
Casual,Low,4.6,Free,Winter,O-neck,Full,Natural,Polyster,Solid,Yes
Sexy,Average,5,L,Winter,O-neck,Threequarter,Natural,Polyster,Geometric,No
Sexy,Average,4.8,Free,Winter,O-neck,Sleeveless,Natural,Polyster,Solid,No
Casual,Average,4.7,S,Summer,V-neck,Short,Natural,Cotton,Dot,No
Sexy,Average,5,M,Summer,V-neck,Sleeveless,Empire,Cotton,Solid,Yes
Work,Average,4.6,L,Summer,Slash-neck,Short,Natural,Cotton,Solid,No
Cute,Average,4.7,L,Summer,O-neck,Sleeveless,Natural,Cotton,Print,No
Bohemian,Low,4.7,Free,Winter,O-neck,Short,Natural,Nylon,Print,No
Casual,Low,5,Free,Spring,Slash-neck,Sleeveless,Empire,Spandex,Striped,Yes
Casual,Average,4.3,Free,Summer,O-neck,Sleeveless,Natural,Cotton,Striped,No
Casual,Average,4.3,S,Spring,Boat-neck,Full,Natural,Cotton,Patchwork,Yes
Sexy,Low,4.3,M,Autumn,Open,Short,Natural,Lace,Print,No
Casual,Low,4.6,Free,Summer,O-neck,Full,Natural,Cotton,Solid,Yes
Casual,Low,4.8,Free,Summer,O-neck,Sleeveless,Natural,Cotton,Print,Yes
Casual,Average,5,S,Winter,O-neck,Sleeveless,Empire,Polyster,Plaid,No
Casual,Low,4.4,Free,Summer,O-neck,Sleeveless,Natural,Polyster,Print,No
Sexy,Low,4.8,M,Autumn,V-neck,Full,Natural,Cotton,Print,Yes
Casual,Average,4.6,Free,Winter,V-neck,Full,Natural,Cotton,Striped,No
Casual,Low,5,S,Spring,O-neck,Sleeveless,Natural,Chiffon,Print,No
Casual,Average,4.6,M,Autumn,O-neck,Short,Empire,Polyster,Dot,No
Casual,Low,4.9,Free,Winter,O-neck,Sleeveless,Empire,Silk,Print,Yes
Casual,Average,4.7,L,Summer,O-neck,Sleeveless,Natural,Silk,Solid,No
Casual,Medium,4.6,M,Winter,O-neck,Full,Natural,Cashmere,Solid,Yes
Casual,Average,4.7,M,Winter,V-neck,Sleeveless,Empire,Polyster,Print,No
Sexy,Average,4.7,M,Winter,V-neck,Sleeveless,Natural,Polyster,Patchwork,No
Casual,Low,4.6,M,Summer,O-neck,Sleeveless,Natural,Cotton,Striped,No
Casual,Low,4.5,Free,Summer,O-neck,Full,Natural,Cotton,Solid,No
Casual,Average,4.7,M,Summer,O-neck,Sleeveless,Natural,Polyster,Character,No
Casual,Low,4.5,M,Winter,O-neck,Short,Natural,Chiffon,Solid,No
Casual,Low,4.7,S,Summer,O-neck,Full,Natural,Cotton,Patchwork,No
Party,Average,4.7,Free,Spring,Sweetheart,Sleeveless,Empire,Rayon,Solid,Yes
Cute,Average,4.4,Free,Spring,Sweetheart,Sleeveless,Empire,Spandex,Solid,Yes
Bohemian,Average,4.8,L,Winter,O-neck,Sleeveless,Natural,Polyster,Solid,No
Novelty,Medium,4.2,M,Winter,O-neck,Half-sleeve,Natural,Polyster,Animal,Yes
Casual,Low,5,Free,Spring,V-neck,Full,Natural,Cotton,Solid,Yes
Casual,Average,5,L,Winter,O-neck,Threequarter,Natural,Polyster,Solid,No
Casual,Low,4.8,M,Winter,V-neck,Sleeveless,Natural,Polyster,Print,No
Bohemian,Low,5,Free,Spring,O-neck,Short,Natural,Nylon,Print,Yes
Casual,Low,5,Free,Spring,Bowneck,Sleeveless,Natural,Silk,Print,No
Casual,Low,5,M,Spring,O-neck,Sleeveless,Natural,Chiffon,Solid,Yes
Sexy,Low,4.8,Free,Spring,Slash-neck,Sleeveless,Natural,Cotton,Solid,No
Sexy,Low,4.8,Free,Summer,Slash-neck,Sleeveless,Empire,Silk,Solid,No
Casual,Low,4.4,M,Winter,O-neck,Sleeveless,Natural,Polyster,Solid,No
Casual,Average,4.5,M,Winter,O-neck,Sleeveless,Natural,Polyster,Striped,No
Casual,Low,4.4,Free,Spring,O-neck,Sleeveless,Natural,Polyster,Print,No
Work,Average,4.9,M,Winter,Slash-neck,Short,Natural,Polyster,Solid,No
Cute,Medium,4.6,Free,Spring,O-neck,Short,Natural,Chiffon,Solid,Yes
Casual,Low,4.7,Free,Spring,O-neck,Half-sleeve,Natural,Silk,Print,No
Casual,Low,4.7,M,Winter,O-neck,Full,Empire,Polyster,Print,Yes
Casual,Average,4.8,M,Spring,O-neck,Sleeveless,Natural,Cotton,Print,No
Sexy,Low,4.8,L,Summer,O-neck,Sleeveless,Natural,Cotton,Solid,Yes
Casual,Average,4.7,XL,Winter,V-neck,Short,Empire,Milksilk,Print,No
Sexy,Average,4.7,M,Autumn,Slash-neck,Sleeveless,Natural,Nylon,Solid,No
Casual,Low,4.7,L,Summer,O-neck,Sleeveless,Natural,Silk,Patchwork,No
Casual,Average,4.7,Free,Summer,V-neck,Full,Natural,Cotton,Solid,No
Casual,Low,4.7,Free,Summer,O-neck,Cap-sleeves,Natural,Chiffon,Print,Yes
Vintage,Low,4,Free,Summer,Turndowncollar,Short,Natural,Cotton,Solid,No
Bohemian,Low,5,Free,Summer,O-neck,Sleeveless,Empire,Cotton,Print,Yes
Casual,Low,4.7,S,Winter,O-neck,Sleeveless,Natural,Knitting,Solid,No
Cute,Average,4.7,M,Summer,O-neck,Sleeveless,Natural,Chiffon,Splice,No
Casual,Average,4.2,M,Winter,V-neck,Full,Empire,Polyster,Patchwork,Yes
Brief,Average,4.8,Free,Winter,V-neck,Half-sleeve,Natural,Polyster,Solid,No
Sexy,Average,4.8,S,Winter,V-neck,Sleeveless,Empire,Polyster,Solid,No
Casual,Average,4.7,L,Winter,O-neck,Sleeveless,Natural,Polyster,Patchwork,No
Vintage,Average,4.7,M,Summer,V-neck,Short,Natural,Rayon,Print,No
Casual,Average,4.8,Free,Summer,O-neck,Sleeveless,Natural,Cotton,Solid,No
Sexy,Low,4.7,M,Winter,V-neck,Sleeveless,Natural,Polyster,Striped,No
Casual,Average,5,S,Spring,Turndowncollar,Full,Empire,Cotton,Solid,No
Casual,Low,4,Free,Summer,V-neck,Sleeveless,Natural,Cotton,Print,No
Cute,Average,4.6,Free,Spring,V-neck,Full,Natural,Cotton,Solid,Yes
Casual,Low,5,M,Spring,O-neck,Sleeveless,Natural,Spandex,Print,No
Casual,Low,4.6,Free,Winter,O-neck,Full,Natural,Polyster,Solid,No
Casual,Average,4.5,L,Summer,O-neck,Short,Natural,Cotton,Solid,No
Cute,Average,4.6,M,Autumn,O-neck,Threequarter,Natural,Silk,Print,No
Casual,Low,4.6,Free,Autumn,O-neck,Half-sleeve,Natural,Chiffon,Leopard,Yes
Bohemian,Average,4,Free,Winter,O-neck,Sleeveless,Natural,Polyster,Striped,No
Casual,Low,4.7,Free,Summer,O-neck,Full,Natural,Cotton,Solid,Yes
Brief,Low,4.6,M,Summer,O-neck,Short,Natural,Cotton,Animal,No
Casual,Low,5,Free,Winter,O-neck,Full,Natural,Wool,Solid,No
Casual,Average,4.5,Free,Summer,O-neck,Short,Natural,Polyster,Solid,No
Bohemian,Low,4.4,L,Summer,Bowneck,Short,Natural,Cotton,Dot,No
Brief,Low,4.7,M,Winter,O-neck,Full,Natural,Cotton,Patchwork,No
Casual,Average,4.7,M,Winter,O-neck,Short,Empire,Polyster,Animal,No
Bohemian,Average,4.8,S,Summer,V-neck,Short,Natural,Cotton,Solid,No
Sexy,Average,4.9,Free,Summer,Square-collar,Sleeveless,Natural,Polyster,Print,No
Casual,Average,3,M,Spring,Turndowncollar,Short,Empire,Polyster,Patchwork,No
Casual,Low,4.7,L,Autumn,O-neck,Short,Natural,Polyster,Patchwork,Yes
Casual,Average,4.3,M,Autumn,O-neck,Sleeveless,Natural,Polyster,Solid,No
Casual,Low,5,Free,Summer,O-neck,Sleeveless,Natural,Modal,Solid,Yes
Casual,Low,4.7,Free,Winter,O-neck,Sleeveless,Natural,Milksilk,Animal,No
Vintage,Average,5,M,Summer,V-neck,Threequarter,Natural,Polyster,Print,No
Casual,Low,4.7,L,Summer,O-neck,Full,Natural,Mix,Patchwork,Yes
Bohemian,Average,4.6,M,Spring,O-neck,Sleeveless,Natural,Chiffon,Solid,No
Bohemian,Low,4.6,Free,Summer,V-neck,Sleeveless,Natural,Cotton,Solid,No
Party,Very-high,4.6,Free,Summer,O-neck,Sleeveless,Empire,Rayon,Solid,No
Cute,Low,4.8,M,Spring,O-neck,Short,Natural,Chiffon,Dot,Yes
Casual,Medium,4.9,L,Winter,O-neck,Short,Natural,Cotton,Solid,No
Casual,Average,4.2,Free,Summer,O-neck,Sleeveless,Natural,Cotton,Striped,Yes
Casual,Average,4.9,M,Summer,O-neck,Short,Dropped,Cotton,Patchwork,No
Sexy,Low,4.4,Free,Autumn,V-neck,Sleeveless,Natural,Cotton,Solid,No
Sexy,Low,4.4,Free,Summer,Bowneck,Sleeveless,Natural,Viscos,Solid,No
Bohemian,Low,4.6,Free,Winter,O-neck,Sleeveless,Empire,Polyster,Patchwork,Yes
Casual,Low,4.6,Free,Autumn,O-neck,Full,Natural,Rayon,Solid,Yes
Sexy,Low,4.5,Free,Summer,O-neck,Sleeveless,Empire,Cotton,Solid,Yes
Sexy,High,5,M,Summer,V-neck,Sleeveless,Natural,Mix,Striped,No
Casual,Average,4.6,L,Summer,Bowneck,Full,Dropped,Cotton,Patchwork,No
Novelty,Average,4.9,M,Autumn,O-neck,Short,Natural,Polyster,Print,No
Casual,Low,4.7,S,Autumn,O-neck,Sleeveless,Natural,Cotton,Solid,No
Cute,Average,4.5,L,Winter,V-neck,Sleeveless,Natural,Polyster,Solid,Yes
Casual,Average,4.4,Free,Summer,O-neck,Cap-sleeves,Natural,Cotton,Solid,No
Casual,Low,4.8,L,Summer,V-neck,Threequarter,Natural,Cotton,Print,No
Casual,Low,4.6,Free,Spring,V-neck,Sleeveless,Natural,Silk,Solid,No
Casual,Average,4.5,M,Summer,O-neck,Full,Natural,Cotton,Solid,No
Casual,Average,4.5,Free,Autumn,O-neck,Half-sleeve,Natural,Cotton,Solid,Yes
Casual,Low,4.4,L,Summer,O-neck,Sleeveless,Natural,Cotton,Solid,No
Casual,Average,4.3,M,Winter,Slash-neck,Sleeveless,Natural,Polyster,Solid,No
Cute,Average,4.7,L,Summer,O-neck,Sleeveless,Natural,Polyster,Solid,No
Cute,High,4.3,M,Spring,Boat-neck,Full,Natural,Polyster,Solid,Yes
Casual,Average,4.6,M,Spring,O-neck,Half-sleeve,Natural,Polyster,Solid,No
Casual,High,4.9,XL,Winter,V-neck,Full,Empire,Cotton,Solid,No
Cute,Average,5,M,Autumn,V-neck,Sleeveless,Natural,Cotton,Solid,No
Casual,Low,4.4,Free,Summer,O-neck,Full,Natural,Cotton,Solid,No
Cute,Average,4.7,M,Spring,O-neck,Full,Natural,Rayon,Solid,Yes
Casual,Average,4.6,M,Winter,V-neck,Half-sleeve,Natural,Silk,Solid,Yes
Casual,Low,4.4,Free,Summer,O-neck,Full,Natural,Cotton,Solid,Yes
Casual,Low,4.4,M,Summer,O-neck,Half-sleeve,Empire,Chiffon,Solid,No
Casual,Low,4.8,Free,Winter,Bowneck,Full,Natural,Polyster,Solid,No
Bohemian,Low,4.6,Free,Summer,O-neck,Sleeveless,Natural,Cotton,Solid,Yes
Brief,Average,4.7,M,Winter,O-neck,Half-sleeve,Natural,Acrylic,Striped,No
Casual,Low,4.7,M,Spring,O-neck,Full,Natural,Polyster,Solid,Yes
Casual,Average,4.7,M,Summer,V-neck,Full,Empire,Cotton,Solid,Yes
Casual,Average,4.6,L,Winter,Boat-neck,Sleeveless,Empire,Silk,Print,Yes
Casual,Low,4.4,Free,Summer,V-neck,Short,Empire,Cotton,Solid,No
